KldbCode,code,Classification 2 PrefLabel
B 21222-126,8114.1,Verfahrensmechaniker/Verfahrensmechanikerin in der Steine- und Erdenindustrie Fachrichtung Asphalttechnik
B 24422-127,7212.3.3,Rohrschweißer/Rohrschweißerin
B 53142-102,5419.7,Rettungsschwimmer/Rettungsschwimmerin
B 54112-101,9112.2,Gebäudereiniger/Gebäudereinigerin
B 25183-105,3115.1.15,Pneumatik-Fachkraft
B 82503-102,3114.1.5,Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Medizintechnik
B 94622-100,3435.7.1,Ankleider/Garderobier / Ankleiderin/Garderobiere
B 27212-118,3118.3.4,Bauzeichner/Bauzeichnerin
B 27314-100,2149.2.7,Qualitätsingenieur/Qualitätsingenieurin
B 72294-101,1211.1,Leiter/Leiterin - Finanz- und Rechnungswesen
B 53112-124,5414.1,Fachkraft für Schutz und Sicherheit
B 53112-127,5414.1,Servicekraft - Schutz und Sicherheit
B 53112-220,5414.1,Geprüfte Schutz- und Sicherheitskraft (IHK)
B 41212-103,3141.2.3,Biologielaborant/Biologielaborantin
B 41212-101,3141.2.3,Staatlich geprüfter Biologisch-technischer Assistent/Staatlich geprüfte Biologisch-technische Assistentin
B 72113-104,3312.3,Kreditmanager/Kreditmanagerin
B 25252-119,7234.1,Zweiradmechatroniker/Zweiradmechatronikerin Fachrichtung Fahrradtechnik
B 25252-103,7234.1,Zweiradmechaniker/Zweiradmechanikerin Fachrichtung Fahrradtechnik
B 26212-102,7411.1.1,Bauelektriker/Bauelektrikerin
B 81723-101,2269.4,Ergotherapeut/Ergotherapeutin
B 83111-103,5311.1,Kinderbetreuer/Kinderbetreuerin
B 28122-233,8152.3.1,Maschinen- und Anlagenführer/Maschinen- und Anlagenführerin - Textiltechnik (Tufting)
B 28122-137,8152.3.1,Textilmechaniker/Textilmechanikerin - Tufting
B 28122-130,8152.3.1,Textilmaschinenführer/Textilmaschinenführerin - Tufting
B 93524-102,2163.1.5,Schmuckdesigner/Schmuckdesignerin
B 94612-104,3432.4,Bühnenmaler und Bühnenplastiker/Bühnenmalerin und Bühnenplastikerin Fachrichtung Plastik
B 29232-102,7511.6,Fleischer/Fleischerin Fachrichtung Schlachten
B 92113-125,2431.10.4,Onlinemarketing-Manager/Onlinemarketing-Managerin
B 28122-140,7318.4,Stricker/Strickerin
B 28122-237,7318.4,Textilgestalter/Textilgestalterin im Handwerk Fachrichtung Stricken
B 41313-102,3116.1,Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Chemietechnik (ohne Schwerpunkt)
B 22304-104,2149.11.2,Ingenieur/Ingenieurin für Holztechnik
B 26384-108,2152.1.11,Ingenieur/Ingenieurin für Optoelektronik
B 26312-177,0310.4,Beamter/Beamtin für den mittleren technischen Dienst der Fernmelde- und Elektronischen Aufklärung des Bundes
B 93222-100,3432.6,Schauwerbegestalter/Schauwerbegestalterin
B 93222-101,3432.6,Gestalter/Gestalterin für visuelles Marketing
